9,193.8986,193.8986,193.8986
6,101.7722,101.7722,101.7722
18,316.1438,316.1438,316.1438
19,337.7345,337.7345,337.7345
7,110.8617,110.8617,110.8617
6,103.0088,103.0088,103.0088
14,266.6417,266.6417,266.6417
10,169.4581,169.4581,169.4581
18,336.647,336.647,336.647
18,337.2826,337.2826,337.2826
19,339.9867,339.9867,339.9867
17,326.7669,326.7669,326.7669
7,131.9384,131.9384,131.9384
12,209.0948,209.0948,209.0948
12,212.479,212.479,212.479
19,358.1967,358.1967,358.1967
17,315.0276,315.0276,315.0276
13,251.2635,251.2635,251.2635
14,262.9775,262.9775,262.9775
19,381.2702,381.2702,381.2702
18,330.7536,330.7536,330.7536
21,427.1913,427.1913,427.1913
17,353.6847,353.6847,353.6847
5,111.8183,111.8183,111.8183
16,308.0584,308.0584,308.0584
5,101.9084,101.9084,101.9084
12,248.8295,248.8295,248.8295
20,370.4675,370.4675,370.4675
16,303.9745,303.9745,303.9745
12,251.9527,251.9527,251.9527
6,107.9042,107.9042,107.9042
10,206.6,206.6,206.6
18,370.3029,370.3029,370.3029
6,139.4467,139.4467,139.4467
21,432.6531,432.6531,432.6531
20,334.7337,334.7337,334.7337
5,86.60451,86.60451,86.60451
12,222.2338,222.2338,222.2338
13,247.8699,247.8699,247.8699
6,134.0191,134.0191,134.0191
8,141.3914,141.3914,141.3914
16,287.0288,287.0288,287.0288
7,123.6351,123.6351,123.6351
8,142.6823,142.6823,142.6823
20,345.7264,345.7264,345.7264
6,122.8609,122.8609,122.8609
6,90.75475,90.75475,90.75475
8,143.114,143.114,143.114
13,246.7278,246.7278,246.7278
6,130.2815,130.2815,130.2815
11,218.6736,218.6736,218.6736
7,134.3791,134.3791,134.3791
16,279.6375,279.6375,279.6375
19,371.4453,371.4453,371.4453
19,364.0805,364.0805,364.0805
17,315.3411,315.3411,315.3411
8,146.858,146.858,146.858
10,211.1828,211.1828,211.1828
5,82.27013,82.27013,82.27013
11,238.9756,238.9756,238.9756
8,135.4359,135.4359,135.4359
16,325.5653,325.5653,325.5653
12,238.0812,238.0812,238.0812
11,262.4129,262.4129,262.4129
13,244.9533,244.9533,244.9533
5,83.84304,83.84304,83.84304
15,294.9185,294.9185,294.9185
13,214.3344,214.3344,214.3344
15,262.1971,262.1971,262.1971
18,317.4977,317.4977,317.4977
21,355.2556,355.2556,355.2556
15,269.3398,269.3398,269.3398
10,233.6998,233.6998,233.6998
19,376.9532,376.9532,376.9532
5,77.77794,77.77794,77.77794
19,385.7977,385.7977,385.7977
8,115.4248,115.4248,115.4248
7,148.409,148.409,148.409
6,102.0343,102.0343,102.0343
20,327.385,327.385,327.385
14,302.6864,302.6864,302.6864
20,376.9289,376.9289,376.9289
9,180.4488,180.4488,180.4488
17,395.0432,395.0432,395.0432
16,286.9987,286.9987,286.9987
20,342.9998,342.9998,342.9998
11,247.8511,247.8511,247.8511
8,173.1776,173.1776,173.1776
18,333.6991,333.6991,333.6991
18,297.6035,297.6035,297.6035
13,226.5347,226.5347,226.5347
8,163.9811,163.9811,163.9811
14,277.6159,277.6159,277.6159
18,356.1301,356.1301,356.1301
8,171.4665,171.4665,171.4665
11,217.6821,217.6821,217.6821
18,330.8795,330.8795,330.8795
7,133.1825,133.1825,133.1825
13,266.5629,266.5629,266.5629
12,213.905,213.905,213.905
20,375.1548,375.1548,375.1548
15,278.2957,278.2957,278.2957
10,219.7225,219.7225,219.7225
9,137.4326,137.4326,137.4326
16,285.9904,285.9904,285.9904
5,81.00345,81.00345,81.00345
15,289.4145,289.4145,289.4145
21,363.1766,363.1766,363.1766
10,193.3757,193.3757,193.3757
17,321.1726,321.1726,321.1726
18,343.463,343.463,343.463
17,321.8732,321.8732,321.8732
19,401.3962,401.3962,401.3962
11,246.6494,246.6494,246.6494
6,127.1585,127.1585,127.1585
20,393.3341,393.3341,393.3341
20,393.8759,393.8759,393.8759
17,329.7367,329.7367,329.7367
7,143.2729,143.2729,143.2729
5,98.24624,98.24624,98.24624
21,393.7886,393.7886,393.7886
13,234.1047,234.1047,234.1047
14,263.1476,263.1476,263.1476
8,139.3371,139.3371,139.3371
13,248.4507,248.4507,248.4507
5,81.24554,81.24554,81.24554
12,226.4141,226.4141,226.4141
12,214.9924,214.9924,214.9924
11,241.1708,241.1708,241.1708
10,180.4419,180.4419,180.4419
10,164.4088,164.4088,164.4088
18,328.0039,328.0039,328.0039
12,227.3002,227.3002,227.3002
15,265.6505,265.6505,265.6505
5,116.7626,116.7626,116.7626
21,384.1286,384.1286,384.1286
17,285.3259,285.3259,285.3259
15,268.9198,268.9198,268.9198
12,245.0382,245.0382,245.0382
19,363.7504,363.7504,363.7504
19,333.1647,333.1647,333.1647
10,251.0338,251.0338,251.0338
16,300.1327,300.1327,300.1327
12,242.7801,242.7801,242.7801
20,440.1993,440.1993,440.1993
10,217.7711,217.7711,217.7711
16,267.3004,267.3004,267.3004
8,170.8963,170.8963,170.8963
13,236.1969,236.1969,236.1969
12,257.356,257.356,257.356
14,254.8873,254.8873,254.8873
16,302.5209,302.5209,302.5209
